avg_rating,image,price,title,total_review
4.8,https://m.media-amazon.com/images/I/71X9KHHecoL.__AC_SX300_SY300_QL70_ML2_.jpg,18.99,"DEWEL Cat Deterrent Spray Indoor, Cat Repellent Indoor for Cat and Kitten, Cat Scratch Deterrent Training Aid for Furniture, Sofas, Rugs, Curtains, Plants, Cat Deterrent Indoor and Outdoor",769
4.6,https://m.media-amazon.com/images/I/410K8zo9pkL.__AC_SY300_SX300_QL70_ML2_.jpg,1.49,"Van Ness Pets Lightweight Stainless Steel Cat Bowl, 8 OZ Food And Water Dish, Natural",855
4.3,https://m.media-amazon.com/images/I/71APVgaupHL.__AC_SX300_SY300_QL70_ML2_.jpg,23.62,Outward Hound Tail Teaser Durable Dog Wand with Soft Plush Toys,"12,980"
4.3,https://m.media-amazon.com/images/I/81Ldq0nTsiL.__AC_SX300_SY300_QL70_ML2_.jpg,15.04,Hartz Home Protection Unscented Odor Eliminating Gel Dog Pads - 50 Count,"7,183"
4.7,https://m.media-amazon.com/images/I/71rQUY5YfuL.__AC_SY300_SX300_QL70_ML2_.jpg,8.64,Fiebing's,"4,751"
4.7,https://m.media-amazon.com/images/I/61VGhNs-aJL.__AC_SX300_SY300_QL70_ML2_.jpg,3.99,Pogi's Dog Poop Bag Dispenser with Metal Carabiner Clip - Includes 1 Dog Poop Bag Holder for Leashes & 15 Scented Poop Bags for Dogs,"21,564"
4.6,https://m.media-amazon.com/images/I/51WXarVi6-L._SX300_SY300_QL70_ML2_.jpg,4.73,"FUYIHGL 4 Pcs Flea Lice Comb for Cats Dogs | 4 Styles of Comb Included, Cat Dog Combs for Grooming Eye Tear Stain, Dematting Comb for Dogs Cats | Ideal for All Types of Small, Medium, Large Pets Hair",930
4.7,https://m.media-amazon.com/images/I/71W1hVKPK0L.__AC_SX300_SY300_QL70_ML2_.jpg,23.99,Zoetis Animal Health Terramycin Antibiotic Ophthalmic Ointment 1/8 oz,"11,919"
4.3,https://m.media-amazon.com/images/I/91YcyjSOzcL.__AC_SX300_SY300_QL70_ML2_.jpg,19.99,"Drymate Original Cat Litter Mat, Contains Mess from Box for Cleaner Floors, Urine-Proof, Soft on Kitty Paws -Absorbent/Waterproof- Machine Washable, Durable (USA Made) (28”x36”)(GreyStripeBlackPaw)","2,426"
4.2,https://m.media-amazon.com/images/I/71ci8JE7mlL.__AC_SX300_SY300_QL70_ML2_.jpg,241.50,"PetSafe Stay & Play Compact Wireless Pet Fence, No Wire Circular Boundary, Secure up to 3/4 Acre, No-Dig Portable Fencing, America's Safest Fence From Parent Company INVISIBLE FENCE Brand","8,133"
4.2,https://m.media-amazon.com/images/I/91HLNY4ijcL.__AC_SX300_SY300_QL70_ML2_.jpg,15.49,KONG - Floppy Knots Elephant - Internal Knotted Ropes and Minimal Stuffing for Less Mess - for Medium/Large Dogs,"22,866"
4.5,https://m.media-amazon.com/images/I/71r43DjzFlL.__AC_SX300_SY300_QL70_ML2_.jpg,36.79,"EHEYCIGA Orthopedic Dog Beds for Extra Large Dogs, Waterproof Memory Foam XL Dog Bed with Sides, Non-Slip Bottom and Egg-Crate Foam Big Dog Couch Bed with Washable Removable Cover, Grey","2,784"
4.5,https://m.media-amazon.com/images/I/81ZHxy6m8US.__AC_SX300_SY300_QL70_ML2_.jpg,10.50,"Aqueon Plant and Shrimp Aquarium Substrate 5 Pounds,Brown","1,252"
4.7,https://m.media-amazon.com/images/I/41XMOcWVKqL.__AC_SX300_SY300_QL70_ML2_.jpg,15.89,OptixCare Pet Eye Lube Plus + Hyaluron 20g for Dog Cat Horses,"7,549"
4.6,https://m.media-amazon.com/images/I/714-HGV2AzL.__AC_SX300_SY300_QL70_ML2_.jpg,15.35,"Bedsure Dog Beds for Small Dogs - Beds for Indoor Cats, Rectangle Cuddle Small Bed Washable with Anti-Slip Bottom, 20 Inches, Grey","2,448"
